84:00	PowerDevice-Undefined
84:01	PowerDevice-iName
84:02	PowerDevice-PresentStatus
84:03	PowerDevice-ChangedStatus
84:04	PowerDevice-UPS
84:05	PowerDevice-PowerSupply
84:06-0F	PowerDevice-Reserved
84:10	PowerDevice-BatterySystem
84:11	PowerDevice-BatterySystemID
84:12	PowerDevice-Battery
84:13	PowerDevice-BatteryID
84:14	PowerDevice-Charger
84:15	PowerDevice-ChargerID
84:16	PowerDevice-PowerConverter
84:17	PowerDevice-PowerConverterID
84:18	PowerDevice-OutletSystem
84:19	PowerDevice-OutletSystemID
84:1A	PowerDevice-Input
84:1B	PowerDevice-InputID
84:1C	PowerDevice-Output
84:1D	PowerDevice-OutputID
84:1E	PowerDevice-Flow
84:1F	PowerDevice-FlowID
84:20	PowerDevice-Outlet
84:21	PowerDevice-OutletID
84:22	PowerDevice-Gang
84:23	PowerDevice-GangID
84:24	PowerDevice-PowerSummary
84:25	PowerDevice-PowerSummaryID
84:26PowerDevice--2F	Reserved
84:30	PowerDevice-Voltage
84:31	PowerDevice-Current
84:32	PowerDevice-Frequency
84:33	PowerDevice-ApparentPower
84:34	PowerDevice-ActivePower
84:35	PowerDevice-PercentLoad
84:36	PowerDevice-Temperature
84:37	PowerDevice-Humidity
84:38	PowerDevice-BadCount
84:39-3F	PoerDevice-Reserved
84:40	PowerDevice-ConfigVoltage
84:41	PowerDevice-ConfigCurrent
84:42	PowerDevice-ConfigFrequency
84:43	PowerDevice-ConfigApparentPower
84:44	PowerDevice-ConfigActivePower
84:45	PowerDevice-ConfigPercentLoad
84:46	PowerDevice-ConfigTemperature
84:47	PowerDevice-ConfigHumidity
84:48-4F	PowerDevice-Reserved
84:50	PowerDevice-SwitchOnControl
84:51	PowerDevice-SwitchOffControl
84:52	PowerDevice-ToggleControl
84:53	PowerDevice-LowVoltageTransfer
84:54	PowerDevice-HighVoltageTransfer
84:55	PowerDevice-DelayBeforeReboot
84:56	PowerDevice-DelayBeforeStartup
84:57	PowerDevice-DelayBeforeShutdown
84:58	PowerDevice-Test
84:59	PowerDevice-ModuleReset
84:5A	PowerDevice-AudibleAlarmControl
84:5B-5F	PowerDevice-Reserved
84:60	PowerDevice-Present
84:61	PowerDevice-Good
84:62	PowerDevice-InternalFailure
84:63	PowerDevice-VoltageOutOfRange
84:64	PowerDevice-FrequencyOutOfRange
84:65	PowerDevice-Overload
84:66	PowerDevice-OverCharged
84:67	PowerDevice-OverTemperature
84:68	PowerDevice-ShutdownRequested
84:69	PowerDevice-ShutdownImminent
84:6A	PowerDevice-Reserved
84:6B	PowerDevice-SwitchOn/Off
84:6C	PowerDevice-Switchable
84:6D	PowerDevice-Used
84:6E	PowerDevice-Boost
84:6F	PowerDevice-Buck
84:70	PowerDevice-Initialized
84:71	PowerDevice-Tested
84:72	PowerDevice-AwaitingPower
84:73	PowerDevice-CommunicationLost
84:74-FC	PowerDevice-Reserved
84:FD	PowerDevice-iManufacturer
84:FE	PowerDevice-iProduct
84:FF	PowerDevice-iserialNumber

85:00	BattSystem-Undefined
85:01	BattSystem-SMBBatteryMode
85:02	BattSystem-SMBBatteryStatus
85:03	BattSystem-SMBAlarmWarning
85:04	BattSystem-SMBChargerMode
85:05	BattSystem-SMBChargerStatus
85:06	BattSystem-SMBChargerSpecInfo
85:07	BattSystem-SMBSelectorState
85:08	BattSystem-SMBSelectorPresets
85:09	BattSystem-SMBSelectorInfo
85:0A-0F	BattSystem-Reserved
85:10	BattSystem-OptionalMfgFunction1
85:11	BattSystem-OptionalMfgFunction2
85:12	BattSystem-OptionalMfgFunction3
85:13	BattSystem-OptionalMfgFunction4
85:14	BattSystem-OptionalMfgFunction5
85:15	BattSystem-ConnectionToSMBus
85:16	BattSystem-OutputConnection
85:17	BattSystem-ChargerConnection
85:18	BattSystem-BatteryInsertion
85:19	BattSystem-Usenext
85:1A	BattSystem-OKToUse
85:1B	BattSystem-BatterySupported
85:1C	BattSystem-SelectorRevision
85:1D	BattSystem-ChargingIndicator
85:1E-27	BattSystem-Reserved
85:28	BattSystem-ManufacturerAccess
85:29	BattSystem-RemainingCapacityLimit
85:2A	BattSystem-RemainingTimeLimit
85:2B	BattSystem-AtRate
85:2C	BattSystem-CapacityMode
85:2D	BattSystem-BroadcastToCharger
85:2E	BattSystem-PrimaryBattery
85:2F	BattSystem-ChargeController
85:30-3F	BattSystem-Reserved
85:40	BattSystem-TerminateCharge
85:41	BattSystem-TerminateDischarge
85:42	BattSystem-BelowRemainingCapacityLimit
85:43	BattSystem-RemainingTimeLimitExpired
85:44	BattSystem-Charging
85:45	BattSystem-Discharging
85:46	BattSystem-FullyCharged
85:47	BattSystem-FullyDischarged
85:48	BattSystem-ConditioningFlag
85:49	BattSystem-AtRateOK
85:4A	BattSystem-SMBErrorCode
85:4B	BattSystem-NeedReplacement
85:4C-5F	BattSystem-Reserved
85:60	BattSystem-AtRateTimeToFull
85:61	BattSystem-AtRateTimeToEmpty
85:62	BattSystem-AverageCurrent
85:63	BattSystem-Maxerror
85:64	BattSystem-RelativeStateOfCharge
85:65	BattSystem-AbsoluteStateOfCharge
85:66	BattSystem-RemainingCapacity
85:67	BattSystem-FullChargeCapacity
85:68	BattSystem-RunTimeToEmpty
85:69	BattSystem-AverageTimeToEmpty
85:6A	BattSystem-AverageTimeToFull
85:6B	BattSystem-CycleCount
85:6C-7F	BattSystem-Reserved
85:80	BattSystem-BattPackModelLevel
85:81	BattSystem-InternalChargeController
85:82	BattSystem-PrimaryBatterySupport
85:83	BattSystem-DesignCapacity
85:85	BattSystem-SpecificationInfo
85:85	BattSystem-ManufacturerDate
85:86	BattSystem-SerialNumber
85:87	BattSystem-iManufacturerName
85:88	BattSystem-iDevicename
85:89	BattSystem-iDeviceChemistery
85:8A	BattSystem-ManufacturerData
85:8B	BattSystem-Rechargable
85:8C	BattSystem-WarningCapacityLimit
85:8D	BattSystem-CapacityGranularity1
85:8E	BattSystem-CapacityGranularity2
85:8F	BattSystem-iOEMInformation
85:90-BF	BattSystem-Reserved
85:C0	BattSystem-InhibitCharge
85:C1	BattSystem-EnablePolling
85:C2	BattSystem-ResetToZero
85:C3-CF	BattSystem-Reserved
85:D0	BattSystem-ACPresent
85:D1	BattSystem-BatteryPresent
85:D2	BattSystem-PowerFail
85:D3	BattSystem-AlarmInhibited
85:D4	BattSystem-ThermistorUnderRange
85:D5	BattSystem-ThermistorHot
85:D6	BattSystem-ThermistorCold
85:D7	BattSystem-ThermistorOverRange
85:D8	BattSystem-VoltageOutOfRange
85:D9	BattSystem-CurrentOutOfRange
85:DA	BattSystem-CurrentNotRegulated
85:DB	BattSystem-VoltageNotRegulated
85:DC	BattSystem-MasterMode
85:DD-EF	BattSystem-Reserved
85:F0	BattSystem-ChargerSelectorSupport
85:F1	BattSystem-ChargerSpec
85:F2	BattSystem-Level2
85:F3	BattSystem-Level3
85:F2-FF	BattSystem-Reserved

FFFF:56	DelayBeforeStartup
FFFF:57	Low Tx Voltage Upper Bound
FFFF:58	Low Tx Voltage Lower Bound
FFFF:59	High Tx Voltage Upper Bound
FFFF:5A	High Tx Voltage Lower Bound
FFFF:75	iModelString
FFFF:76	iModelStringOffset
FFFF:7C	UpsType
FFFF:7D	CommProtocol
FFFF:81	PowerOnDelay
FFFF:91	OutputSource
FFFF:92	Watchdog
FFFF:93	WatchdogAlarm
FFFF:94	EmergencyPowerOff
FFFF:95	SwitchOutletMap
FFFF:96	SwitchOutletState
FFFF:97	SiteWiringFault
FFFF:98	SwitchOutletControlMap
FFFF:99	SwitchOnControl
FFFF:9A	SwitchOffControl
FFFF:9B	Voltage Sensitivity
FFFF:9C	AC Fail & Restore Auto-Reboot Enable/Disable
FFFF:9D	Voltage2
FFFF:9E	Voltage12
FFFF:9F	Input Voltage2
FFFF:9F	Output Voltage2
FFFF:A0	SwitchOutletShedDelay
'FFFF:A0	Input Voltage12
'FFFF:A0	Output Voltage12
FFFF:A1	Input Frequency2
FFFF:A2	SwitchOutletShedEnable
'FFFF:A2	Output Current2
FFFF:A3	Output ActivePower2
FFFF:A4	ShedControl
'FFFF:A4	PercentLoad2
FFFF:A5	ActivePower2
FFFF:A6	OutletActionMap
FFFF:A7	OutletGroupIndex
FFFF:A8	SwitchOutletRampDelay
FFFF:A9	SwitchOutletRampEnable
FFFF:AA	RampControl
FFFF:AB	SwitchOutletDelayQuery
FFFF:AC	SwitchOutletConfig
FFFF:AD	ConfigNumberofACSources
FFFF:AE	VoltageRangeSelection
FFFF:C0	NVR Data Access
FFFF:C1	NVR Address
FFFF:C2	RAM Data Access
FFFF:C3	RAM Address
FFFF:C4	Production test password
FFFF:C5	Production test protocol
FFFF:C7	AutoRestartAfterSDCmd
FFFF:D2	NVR Page Read
FFFF:D3	RAM Page Read
FFFF:D6	Get Firmware PartNumber
FFFF:E0	UnitNumber
FFFF:E1	UPSAge
FFFF:E2	UPSAvgTemperature
FFFF:E3	UPSNumDeepDischarges
FFFF:E4	UPSNumShallowDischarges
FFFF:E5	UPSConfiguration
FFFF:E6	UPSStatus
FFFF:E7	InputVMin
FFFF:E8	InputVMax
FFFF:E9	ConfigNumOfOutletGroups


