M:\Eserve\FW\692199 OmniSmart G6.5\code\X026\PROJ.MAP
R_RequestError                      	0000043
R_SPI_CHECK_ERROR                   	0000046
R_TXENQ                             	0000040
ADCCSR                             	000000c
ADCDRLSB                           	000000b
ADCDRMSB                           	000000a
ADCONVERSION                       	000c3ed
ADCONVERSION$L                     	00000de
ADRIVE_OFF_IN_SHADOW               	000c6a7
ADRIVE_ON_IN_SHADOW                	000c69e
ARTARR                             	0000019
ARTCAR                             	0000018
ARTCSR                             	0000017
ARTICCSR                           	000001a
ARTICR1                            	000001b
ARTICR2                            	000001c
AShadow                            	00000ab
AState                             	000d3:4
AUTOSELECT                         	000d4:2
AUTOSELECT_ROUTINE                 	000c1e3
AVERAGE_VRMS                       	000d5:4
AVERAGE_VRMS_ROUTINE               	000c257
AVERAGE_VRMS_ROUTINE$L             	00000e1
AcceptanceTimer                    	000009d
AccptToFltCurrent                  	0000215
Applet_DataReceived                	000027d
Applet_DataToSend                  	0000275
AvgBatteryVoltage_H                	000005c
AvgBatteryVoltage_L                	000025c
AvgDisplayLoadFeedBack             	0000254
AvgPeriod_H                        	0000059
AvgPeriod_L                        	000025e
AvgPeriod_M                        	0000058
AvgPhaseMatchDutyCycle_H           	0000257
AvgPhaseMatchDutyCycle_L           	0000258
BATTERYAVERAGE                     	000d5:6
BATTERY_VOLTAGE_ROUTINE            	000c2e6
BATTERY_VOLTAGE_ROUTINE$L          	00000d9
BDRIVE_OFF_IN_SHADOW               	000c6b9
BDRIVE_ON_IN_SHADOW                	000c6b0
BShadow                            	00000aa
BState                             	000d3:3
BandSlctCntr                       	00000a2
BatteryCurrent                     	00000a1
BatteryCurrent_R                   	000025d
BeeperControl                      	000ce:5
BeeperSetOn                        	000ce:4
Boost2RelayStatus                  	000e974
CCP1Data                           	0000252
CHARGER                            	000d5:7
CHARGER_BATT_PCT                   	0000200
CHARGER_ISR                        	000ca8d
CHARGER_ROUTINE                    	000c951
CHARGER_ROUTINE$L                  	00000db
CHECK_IF_EEPROM_IS_PRESENT         	000ce80
CHECK_IF_EEPROM_IS_PRESENT$L       	00000de
CHECK_MODE                         	000d4:3
CLIISR                             	000caff
COLDSTART                          	000c5de
CShadow                            	00000a9
CState                             	000d3:2
CalcCorrectedLinePhase             	000c830
CalculateInverterPW                	000d2:7
ChargeModeRemCapacity              	0000086
ChargeOnly                         	000d0:2
ChargerCurrentSet                  	0000216
ChargerDelayCounter                	000005a
ChargerFaultDelay                  	0000217
ChargerFlags                       	00000ac
ChargerInvertFLDecrement           	000008b
ChargerInvertHLDecrement           	0000089
ChargerInvertLLDecrement           	000024c
ChargerInvertVLDecrement           	000024b
ChargerOverCurrentSet              	0000214
ChargerPulseWidth                  	000009f
ChargerTimer                       	000008d
CheckValidResume                   	000f0d3
Chng255to0                         	000cc1c
Chng255to0$L                       	00000df
ClearFeatureStall                  	000f3e6
CmdLength                          	0000233
ConfigValue                        	0000287
CorrectedLinePhase                 	000008f
CurrentLimitCount                  	0000092
CurrentLimitTimer                  	0000091
CurrentLimiting                    	000d2:5
Cut1RelayStatus                    	000e987
Cut2TapPresent                     	000d0:7
DCOPeriodAdustment                 	000005e
DCOPhaseCount                      	000009a
DCOTickInterval                    	000005d
DEAD_TIME_ON_IN_SHADOW             	000c6c2
DECREASE_CHARGER_PW                	000cad6
DISPLAY                            	000d4:4
DISPLAY_ROUTINE                    	000d706
DISPLAY_ROUTINE$L                  	00000df
DataStageIn                        	000f676
DataStageIn$L                      	00000e2
DataStageOut                       	000f7d0
DataToSend                         	0000288
DescAddBasePointer                 	00000b7
Descriptors                        	000fbbf
DetectorDissable                   	000d1:3
DetectorDissableCounter            	00000a4
DeviceChem_String                  	000fc27
DeviceStatusInfo                   	00000be
DisableAppli                       	000f314
DisableBlackoutDetector            	000d1:0
Disable_USB_HW                     	000f1ad
DisplayLoadFeedBack                	0000094
DisplayLoadFeedBack_L              	0000256
DisplayOverLoad                    	000ce:6
EECalibrationSegment               	00001b0
EEPROM_BYTE_READ                   	000cdf0
EEPROM_BYTE_READ$L                 	00000ed
EEPROM_BYTE_WRITE                  	000cd6b
EEPROM_BYTE_WRITE$L                	00000ed
EEPROM_PAGE_READ                   	000ce35
EEPROM_PAGE_READ$L                 	00000ed
EEPROM_PAGE_WRITE                  	000cda7
EEPROM_PAGE_WRITE$L                	00000ed
EEPROM_TEST_IF_WRITTEN             	000ccd2
EEPROM_VERIFY_SEGMENT_CHKSUM       	000ccff
EEPROM_VERIFY_SEGMENT_CHKSUM$L     	00000e1
EEPROM_WRITE_ENABLE                	000ccad
EEPersonalityBytes                 	0000049
EEThresholdSegment                 	00001b8
EEUnitStatusBytes                  	0000065
EEWriteInProgress                  	000ce:1
EIGHT_BIT_FILTERED_AVERAGING       	000c401
EIGHT_BIT_FILTERED_AVERAGING$L     	00000e2
ENERGIZE_LCR                       	000c722
ENERGIZE_LCR$L                     	00000df
EP0InBuffer                        	0000188
EP0OutBuffer                       	0000180
EP1InBuffer                        	0000198
EP1OutBuffer                       	0000190
EP2InBuffer                        	00001a8
EP2OutBuffer                       	00001a0
EdgeChargerRegulate                	000ca50
EdgeChargerRegulate$L              	00000dd
EnableAppli                        	000f30a
EnableInvertMode                   	000d0:3
Enable_STATUS_Stage                	000f1e4
EndLCDCmd                          	000d6b4
EnergizeLCR                        	000cc:6
FCSR                               	0000038
FREQUENCY                          	000d6:2
FREQUENCY_ROUTINE                  	000ceca
FREQUENCY_ROUTINE$L                	00000de
FreqBndSlcted                      	000d1:2
FreqMatched                        	000d2:0
FreqNom                            	000d0:5
FromISRToISR                       	000d3:0
FullLoad                           	000cc:2
GetEP0RxStatus                     	000f085
GetEP0TxStatus                     	000f056
GetEP1TxStatus                     	000f0aa
GetInterface                       	000f35f
GetStatus                          	000f395
GetUserString                      	000ef29
GetUserString$L                    	00000e3
Get_Feature                        	000eef2
Get_Input                          	000f014
GotoInvertDueToBrownOut            	000cd:0
GotoSelfTest                       	000cc:7
HEAVY_LOAD_INVERT_BATT_PCT         	00001d8
HEX2BCD_H                          	000c92e
HEX2BCD_H$L                        	00000db
HEX2BCD_L                          	000c946
HEX2BCD_L$L                        	00000db
HEX2BCD_M                          	000c937
HEX2BCD_M$L                        	00000db
HEXASC                             	000c911
HEXASC$L                           	00000d8
